"row ID","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row0","Mirage",16,13,17,2,21,2,45,"Win"
"Row1","Mirage",16,11,13,4,24,2,40,"Lost"
"Row2","Mirage",16,14,15,3,18,3,37,"Win"
"Row3","Mirage",11,16,12,2,15,2,30,"Lost"
"Row4","Mirage",15,15,33,5,20,5,83,"Tie"
"Row5","Mirage",16,4,13,2,17,1,34,"Lost"
"Row6","Dust II",16,14,19,5,24,2,52,"Lost"
"Row7","Mirage",16,14,17,1,25,0,37,"Lost"
"Row8","Mirage",16,8,25,10,12,4,70,"Win"
"Row9","Mirage",6,16,13,1,17,0,31,"Lost"
"Row10","Dust II",5,16,17,4,12,3,44,"Win"
"Row11","Cache",6,16,15,1,12,3,36,"Win"
"Row12","Cache",16,11,8,2,18,0,22,"Lost"
"Row13","Mirage",13,16,26,6,20,6,71,"Lost"
"Row14","Cache",12,16,13,5,22,1,35,"Win"
"Row15","Dust II",10,16,17,4,19,3,43,"Win"
"Row16","Dust II",3,16,14,4,12,3,36,"Win"
"Row17","Mirage",4,16,15,7,13,3,43,"Win"
"Row18","Dust II",16,2,13,2,8,1,30,"Win"
"Row19","Dust II",16,7,15,3,20,1,43,"Lost"
"Row20","Cache",5,16,16,5,12,3,42,"Win"
"Row21","Mirage",8,16,19,6,15,2,45,"Win"
"Row22","Cache",16,14,11,5,21,4,44,"Lost"
"Row23","Mirage",16,3,22,2,7,5,47,"Win"
"Row24","Mirage",9,16,10,2,22,2,26,"Lost"
"Row25","Mirage",16,13,21,6,18,3,56,"Win"
"Row26","Mirage",2,16,12,7,11,2,35,"Win"
"Row27","Mirage",10,16,15,6,12,0,39,"Win"
"Row28","Mirage",15,15,25,1,20,2,56,"Tie"
"Row29","Mirage",16,13,27,5,20,3,65,"Win"
"Row30","Mirage",6,16,13,2,17,0,28,"Lost"
"Row31","Cache",5,16,16,2,10,2,41,"Win"
"Row32","Mirage",9,16,11,1,18,2,25,"Lost"
"Row33","Cache",16,11,12,5,23,3,43,"Lost"
"Row34","Mirage",2,16,14,3,15,1,31,"Lost"
"Row35","Mirage",16,2,11,2,10,1,24,"Win"
"Row36","Mirage",12,16,13,3,18,1,30,"Lost"
"Row37","Mirage",3,16,24,3,6,6,64,"Win"
"Row38","Mirage",15,15,27,3,21,1,64,"Tie"
"Row39","Cache",13,16,23,3,7,6,54,"Win"
"Row40","Mirage",16,2,6,1,14,0,15,"Lost"
"Row41","Mirage",16,14,6,5,14,1,17,"Win"
"Row42","Mirage",16,11,10,8,13,1,32,"Lost"
"Row43","Mirage",16,0,12,1,4,3,31,"Win"
"Row44","Mirage",16,9,10,6,19,1,26,"Lost"
"Row45","Mirage",13,16,23,8,18,3,60,"Win"
"Row46","Mirage",16,5,16,2,9,3,36,"Win"
"Row47","Mirage",2,14,1,1,8,0,3,"Lost"
"Row48","Mirage",6,16,22,1,10,6,55,"Win"
"Row49","Mirage",7,16,18,5,16,1,41,"Win"
"Row50","Mirage",16,8,17,4,19,2,46,"Lost"
"Row51","Cache",14,16,13,5,16,2,36,"Lost"
"Row52","Mirage",11,16,15,8,13,4,44,"Win"
"Row53","Cache",15,15,12,7,20,2,41,"Tie"
"Row54","Mirage",3,16,7,4,16,0,21,"Lost"
"Row55","Dust II",14,16,10,6,20,0,27,"Lost"
"Row56","Dust II",6,16,19,3,12,5,48,"Win"
"Row57","Mirage",16,12,18,4,19,2,48,"Lost"
"Row58","Cache",16,14,16,4,14,1,48,"Win"
"Row59","Mirage",9,16,9,2,18,0,22,"Lost"
"Row60","Dust II",6,16,5,5,20,0,16,"Lost"
"Row61","Mirage",8,16,15,7,22,0,39,"Lost"
"Row62","Cache",16,13,14,11,22,3,52,"Win"
"Row63","Mirage",10,16,25,5,16,4,70,"Win"
"Row64","Mirage",6,16,14,3,14,1,31,"Lost"
"Row65","Mirage",9,16,28,5,12,7,70,"Win"
"Row66","Mirage",16,6,11,6,17,1,33,"Lost"
"Row67","Mirage",16,8,10,6,23,0,26,"Lost"
"Row68","Mirage",16,5,10,5,17,1,26,"Lost"
"Row69","Mirage",0,11,10,1,4,4,28,"Win"
"Row70","Mirage",9,16,25,0,19,4,53,"Lost"
"Row71","Mirage",15,15,15,5,27,3,48,"Tie"
"Row72","Mirage",15,15,22,4,21,4,51,"Tie"
"Row73","Mirage",8,16,8,1,11,3,24,"Win"
"Row74","Cache",2,16,10,1,13,0,21,"Lost"
"Row75","Mirage",16,7,16,8,18,1,48,"Lost"
"Row76","Mirage",16,5,8,2,18,2,22,"Lost"
"Row77","Mirage",16,10,19,5,14,4,49,"Win"
"Row78","Mirage",15,15,36,5,17,4,89,"Tie"
"Row79","Mirage",7,3,7,1,5,2,15,"Win"
"Row80","Mirage",14,1,10,1,10,1,22,"Win"
"Row81","Mirage",14,16,22,6,21,2,56,"Lost"
"Row82","Mirage",16,11,17,6,20,3,46,"Win"
"Row83","Mirage",16,10,16,3,19,3,46,"Lost"
"Row84","Mirage",16,12,14,8,20,2,42,"Lost"
"Row85","Dust II",16,6,11,5,15,2,29,"Win"
"Row86","Dust II",16,4,19,4,10,2,42,"Win"
"Row87","Mirage",5,16,18,6,13,4,47,"Win"
"Row88","Cache",14,16,36,5,21,7,89,"Lost"
"Row89","Dust II",15,15,25,3,15,3,64,"Tie"
"Row90","Dust II",16,4,22,9,9,7,53,"Win"
"Row91","Dust II",15,15,20,5,23,3,53,"Tie"
"Row92","Dust II",2,16,15,4,11,0,37,"Win"
"Row93","Cache",10,16,15,8,22,2,42,"Lost"
"Row94","Cache",6,16,13,5,15,1,31,"Lost"
"Row95","Overpass",16,9,7,4,15,0,19,"Lost"
"Row96","Dust II",16,12,22,6,20,1,54,"Lost"
"Row97","Mirage",5,16,14,7,14,2,37,"Win"
"Row98","Dust II",8,1,0,1,3,0,1,"Lost"
"Row99","Dust II",16,10,1,0,4,0,2,"Lost"
"Row100","Mirage",12,1,18,2,3,2,39,"Win"
"Row101","Mirage",11,6,10,3,11,1,30,"Lost"
"Row102","Mirage",16,12,8,9,21,0,32,"Lost"
