"row ID","Date","Match Time(s)","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row0","3/8/2018",2906,"Mirage",16,13,17,2,21,2,45,"Win"
"Row1","2/8/2018",2592,"Mirage",16,11,13,4,24,2,40,"Lost"
"Row2","31/7/2018",2731,"Mirage",16,14,15,3,18,3,37,"Win"
"Row3","31/7/2018",2379,"Mirage",11,16,12,2,15,2,30,"Lost"
"Row4","30/7/2018",3467,"Mirage",15,15,33,5,20,5,83,"Tie"
"Row5","29/7/2018",1881,"Mirage",16,4,13,2,17,1,34,"Lost"
"Row6","28/7/2018",3194,"Dust II",16,14,19,5,24,2,52,"Lost"
"Row7","27/7/2018",2859,"Mirage",16,14,17,1,25,0,37,"Lost"
"Row8","27/7/2018",2300,"Mirage",16,8,25,10,12,4,70,"Win"
"Row9","27/7/2018",2184,"Mirage",6,16,13,1,17,0,31,"Lost"
"Row10","27/7/2018",2026,"Dust II",5,16,17,4,12,3,44,"Win"
"Row11","27/7/2018",1844,"Cache",6,16,15,1,12,3,36,"Win"
"Row12","26/7/2018",2336,"Cache",16,11,8,2,18,0,22,"Lost"
"Row13","26/7/2018",2521,"Mirage",13,16,26,6,20,6,71,"Lost"
"Row14","25/7/2018",2731,"Cache",12,16,13,5,22,1,35,"Win"
"Row15","25/7/2018",2574,"Dust II",10,16,17,4,19,3,43,"Win"
"Row16","24/7/2018",1598,"Dust II",3,16,14,4,12,3,36,"Win"
"Row17","24/7/2018",1730,"Mirage",4,16,15,7,13,3,43,"Win"
"Row18","23/7/2018",1500,"Dust II",16,2,13,2,8,1,30,"Win"
"Row19","23/7/2018",2080,"Dust II",16,7,15,3,20,1,43,"Lost"
"Row20","23/7/2018",1862,"Cache",5,16,16,5,12,3,42,"Win"
"Row21","23/7/2018",2443,"Mirage",8,16,19,6,15,2,45,"Win"
"Row22","21/7/2018",2843,"Cache",16,14,11,5,21,4,44,"Lost"
"Row23","15/7/2018",1481,"Mirage",16,3,22,2,7,5,47,"Win"
"Row24","14/7/2018",2491,"Mirage",9,16,10,2,22,2,26,"Lost"
"Row25","13/7/2018",2540,"Mirage",16,13,21,6,18,3,56,"Win"
"Row26","12/7/2018",1605,"Mirage",2,16,12,7,11,2,35,"Win"
"Row27","12/7/2018",2304,"Mirage",10,16,15,6,12,0,39,"Win"
"Row28","10/7/2018",3364,"Mirage",15,15,25,1,20,2,56,"Tie"
"Row29","9/7/2018",2900,"Mirage",16,13,27,5,20,3,65,"Win"
"Row30","9/7/2018",1975,"Mirage",6,16,13,2,17,0,28,"Lost"
"Row31","8/7/2018",1999,"Cache",5,16,16,2,10,2,41,"Win"
"Row32","7/7/2018",2415,"Mirage",9,16,11,1,18,2,25,"Lost"
"Row33","30/6/2018",2713,"Cache",16,11,12,5,23,3,43,"Lost"
"Row34","30/6/2018",1466,"Mirage",2,16,14,3,15,1,31,"Lost"
"Row35","29/6/2018",1477,"Mirage",16,2,11,2,10,1,24,"Win"
"Row36","29/6/2018",2704,"Mirage",12,16,13,3,18,1,30,"Lost"
"Row37","28/6/2018",1669,"Mirage",3,16,24,3,6,6,64,"Win"
"Row38","28/6/2018",2983,"Mirage",15,15,27,3,21,1,64,"Tie"
"Row39","28/6/2018",2338,"Cache",13,16,23,3,7,6,54,"Win"
"Row40","27/6/2018",1435,"Mirage",16,2,6,1,14,0,15,"Lost"
"Row41","26/6/2018",2884,"Mirage",16,14,6,5,14,1,17,"Win"
"Row42","25/6/2018",2623,"Mirage",16,11,10,8,13,1,32,"Lost"
"Row43","24/6/2018",1358,"Mirage",16,0,12,1,4,3,31,"Win"
"Row44","24/6/2018",2366,"Mirage",16,9,10,6,19,1,26,"Lost"
"Row45","24/6/2018",2702,"Mirage",13,16,23,8,18,3,60,"Win"
"Row46","24/6/2018",1951,"Mirage",16,5,16,2,9,3,36,"Win"
"Row47","22/6/2018",1475,"Mirage",2,14,1,1,8,0,3,"Lost"
"Row48","22/6/2018",2026,"Mirage",6,16,22,1,10,6,55,"Win"
"Row49","21/6/2018",2235,"Mirage",7,16,18,5,16,1,41,"Win"
"Row50","21/6/2018",2279,"Mirage",16,8,17,4,19,2,46,"Lost"
"Row51","21/6/2018",2819,"Cache",14,16,13,5,16,2,36,"Lost"
"Row52","20/6/2018",2755,"Mirage",11,16,15,8,13,4,44,"Win"
"Row53","17/6/2018",3182,"Cache",15,15,12,7,20,2,41,"Tie"
"Row54","17/6/2018",1501,"Mirage",3,16,7,4,16,0,21,"Lost"
"Row55","16/6/2018",2728,"Dust II",14,16,10,6,20,0,27,"Lost"
"Row56","15/6/2018",2058,"Dust II",6,16,19,3,12,5,48,"Win"
"Row57","15/6/2018",2815,"Mirage",16,12,18,4,19,2,48,"Lost"
"Row58","14/6/2018",2857,"Cache",16,14,16,4,14,1,48,"Win"
"Row59","14/6/2018",2491,"Mirage",9,16,9,2,18,0,22,"Lost"
"Row60","14/6/2018",1825,"Dust II",6,16,5,5,20,0,16,"Lost"
"Row61","14/6/2018",2396,"Mirage",8,16,15,7,22,0,39,"Lost"
"Row62","13/6/2018",2726,"Cache",16,13,14,11,22,3,52,"Win"
"Row63","13/6/2018",2427,"Mirage",10,16,25,5,16,4,70,"Win"
"Row64","13/6/2018",2065,"Mirage",6,16,14,3,14,1,31,"Lost"
"Row65","13/6/2018",2598,"Mirage",9,16,28,5,12,7,70,"Win"
"Row66","11/6/2018",1914,"Mirage",16,6,11,6,17,1,33,"Lost"
"Row67","8/6/2018",1999,"Mirage",16,8,10,6,23,0,26,"Lost"
"Row68","7/6/2018",1788,"Mirage",16,5,10,5,17,1,26,"Lost"
"Row69","7/6/2018",924,"Mirage",0,11,10,1,4,4,28,"Win"
"Row70","7/6/2018",2435,"Mirage",9,16,25,0,19,4,53,"Lost"
"Row71","6/6/2018",3231,"Mirage",15,15,15,5,27,3,48,"Tie"
"Row72","2/6/2018",2794,"Mirage",15,15,22,4,21,4,51,"Tie"
"Row73","2/6/2018",2365,"Mirage",8,16,8,1,11,3,24,"Win"
